HostName,years,Weeks,BGP_Mem
ipdsl-qoo-cascada-35,0,12,16
ipdsl-jal-dominguez-3,0,17,26
ipdsl-mex-sanjeronimo-9,1,14,81
ipdsl-yuc-yaxkin-31,0,5,5
ipdsl-gto-irapuato-20,1,13,94
ipdsl-mex-ctsj-64,0,4,5
ipdsl-slp-colonias-4,1,22,82
ipdsl-ver-cordoba-21,1,23,5
ipdsl-tab-paseo-30,1,21,98
ipdsl-hgo-revolucionp-28,0,17,28
ipdsl-nvl-revolucion-71,1,14,74
ipdsl-mch-uruapan-22,0,6,9
ipdsl-tam-madero-27,0,27,50
ipdsl-nay-cultura-19,0,3,6
ipdsl-mex-vallejo-106,0,5,4
ipdsl-edo-arboledas-3,0,23,39
ipdsl-nvl-revolucion-70,1,20,83
ipdsl-coa-ayuntamiento-24,1,12,84
ipdsl-tam-nuevolaredo-28,0,18,31
ipdsl-edo-neza-4,0,5,5
ipdsl-yuc-plaza-46,1,13,80
ipdsl-mex-popocatepetl-81,0,3,5
ipdsl-qro-obrera-8,1,22,80
ipdsl-mex-nextengo-129,0,3,5
ipdsl-mex-nextengo-130,0,7,6
ipdsl-edo-naucalpan-4,0,12,19
ipdsl-qro-corregidora-38,0,12,17
ipdsl-col-ctc-25,0,17,39
ipdsl-mex-estrella-29,1,12,75
ipdsl-edo-cuautitlan-45,1,15,18
ipdsl-mch-morelia-36,0,4,7
ipdsl-bcs-lapazbcs-25,0,24,40
ipdsl-edo-chalco-19,0,18,37
ipdsl-oax-juchitan-4,1,17,20
ipdsl-oax-belisario-13,0,12,24
ipdsl-coa-fuentes-39,0,4,5
ipdsl-jal-bandera-27,1,17,68
ipdsl-coa-ayuntamiento-23,0,5,6
ipdsl-mex-popocatepetl-80,0,7,5
ipdsl-mex-popocatepetl-75,0,4,5
ipdsl-tam-anaya-16,0,26,55
ipdsl-edo-neza-5,0,0,4
ipdsl-mex-culhuacan-67,0,5,4
ipdsl-gto-aztecas-38,0,29,48
ipdsl-nvl-mayo-88,1,13,76
ipdsl-mex-estrella-28,1,22,80
ipdsl-chi-oasis-6,1,17,79
ipdsl-mex-popocatepetl-82,0,5,5
ipdsl-mex-vallejo-111,0,4,6
ipdsl-mex-lago-4,0,12,18
ipdsl-tab-villahermosa-7,1,14,85
ipdsl-yuc-yaxkin-30,1,13,80
ipdsl-slp-alameda-36,0,11,26
ipdsl-jal-ptovallarta-21,1,20,76
ipdsl-mex-estrella-26,0,4,6
ipdsl-edo-nevado-43,0,7,4
ipdsl-ver-leandrovalle-28,0,24,43
ipdsl-chi-catedral-49,0,18,32
ipdsl-chi-copernico-53,0,17,28
ipdsl-edo-cuautitlan-44,0,24,43
ipdsl-mex-roma-83,0,5,7
ipdsl-mex-nextengo-126,0,5,5
ipdsl-qro-corregidora-35,1,24,81
ipdsl-mex-culhuacan-63,0,4,5
ipdsl-mex-ctsj-56,0,6,5
ipdsl-mex-ctsj-57,0,5,7
ipdsl-son-obregon-25,0,4,6
ipdsl-hgo-tulancingo-7,1,11,81
ipdsl-edo-tollocan-1,1,15,76
ipdsl-edo-satelite-4,0,5,5
ipdsl-mex-vallejo-114,0,3,5
ipdsl-mex-vallejo-119,0,18,29
ipdsl-mex-vallejo-113,0,6,6
ipdsl-coa-fuentes-42,0,5,5
ipdsl-mex-bosques-9,0,13,19
ipdsl-ver-leandrovalle-34,1,21,92
ipdsl-mex-vallejo-115,1,13,83
ipdsl-mex-roma-90,0,4,6
ipdsl-mex-vallejo-120,1,18,81
ipdsl-mex-nextengo-140,0,5,6
ipdsl-ver-pozarica-25,1,21,38
ipdsl-jal-ctg-78,1,29,80
ipdsl-jal-toscano-5,1,5,53
ipdsl-edo-cuautitlan-50,1,16,89
ipdsl-jal-zapopan-6,0,8,9
ipdsl-mex-roma-89,0,24,41
ipdsl-chi-catedral-51,0,17,28
ipdsl-jal-lasfuentes-35,1,19,71
ipdsl-son-cortinez-20,0,6,7
ipdsl-sin-losmochis-23,0,6,6
ipdsl-dgo-gomezpalacio-2,0,5,5
ipdsl-mor-zapata-9,0,5,6
ipdsl-edo-toluca-9,1,13,87
ipdsl-mex-roma-87,0,5,6
ipdsl-hgo-tula-4,1,6,41
ipdsl-nvl-anahuac-37,0,13,18
ipdsl-zac-plata-22,0,8,12
ipdsl-mex-balbuena-4,0,24,39
ipdsl-sin-emiliano-38,1,11,85
ipdsl-nvl-santafe-28,1,14,6
ipdsl-tam-matamoros-17,0,22,38
ipdsl-sin-republica-25,0,6,6
ipdsl-ags-pedroparga-17,1,17,73
ipdsl-mor-zapata-10,0,4,6
ipdsl-dgo-zarco-22,0,17,30
ipdsl-qoo-kukulcan-29,0,12,16
ipdsl-ver-petrolera-13,0,5,7
ipdsl-ver-mocambo-30,1,14,77
ipdsl-edo-nevado-47,1,14,84
ipdsl-qoo-kukulcan-30,1,14,78
ipdsl-son-yanez-67,0,24,43
ipdsl-jal-fresno-6,0,6,6
ipdsl-ver-mocambo-29,0,3,4
ipdsl-chi-copernico-56,0,8,10
ipdsl-jal-lasfuentes-34,0,6,6
ipdsl-mex-sanjeronimo-8,0,12,17
ipdsl-nvl-mayo-89,1,13,76
ipdsl-mex-bosques-8,1,8,77
ipdsl-gto-aztecas-40,0,17,31
ipdsl-jal-tequila-1,1,14,72
ipdsl-jal-fresno-7,0,13,21
ipdsl-nvl-revolucion-72,1,13,72
ipdsl-jal-tepatitlan-9,0,36,69
ipdsl-jal-tlaquepaque-67,1,13,76
ipdsl-chs-tuxtla-31,0,6,8
ipdsl-tlx-staana-11,0,0,4
ipdsl-mex-popocatepetl-84,0,4,6
ipdsl-jal-lasfuentes-36,0,6,7
ipdsl-nvl-valle-17,1,20,84
ipdsl-mor-mirador-35,0,4,7
ipdsl-mex-cdadazteca-6,0,12,16
ipdsl-jal-zapopan-5,0,12,17
ipdsl-mex-culhuacan-68,0,4,4
ipdsl-gto-pedromoreno-46,0,5,7
ipdsl-ver-pozarica-20,0,18,30
ipdsl-qro-corregidora-39,1,21,81
ipdsl-mex-popocatepetl-79,0,6,5
ipdsl-nvl-mayo-90,1,12,77
ipdsl-slp-colonias-5,0,6,5
ipdsl-cam-campeche-15,0,5,5
ipdsl-chs-tuxtla-30,0,18,43
ipdsl-mex-roma-82,0,5,6
ipdsl-mex-ctsj-65,0,6,5
ipdsl-mex-culhuacan-70,1,9,72
ipdsl-gto-pedromoreno-44,0,4,6
ipdsl-pue-ctp-59,0,12,20
ipdsl-mex-xochimilco-4,0,7,6
ipdsl-slp-alameda-38,1,13,92
ipdsl-mex-nextengo-131,0,4,4
ipdsl-jal-escritores-3,0,4,5
ipdsl-edo-cuautitlan-46,0,18,32
ipdsl-gto-pedromoreno-43,0,12,19
ipdsl-gro-hidalgo-36,0,17,45
ipdsl-mex-culhuacan-69,1,14,72
ipdsl-chi-centauro-13,0,5,5
ipdsl-edo-naucalpan-3,0,7,6
ipdsl-mex-balbuena-3,0,13,19
ipdsl-coa-monclova-16,0,36,15
ipdsl-pue-fuertes-68,1,11,41
ipdsl-bcs-snjosecabo-20,0,6,6
ipdsl-ags-vinedo-15,0,24,38
ipdsl-edo-satelite-3,0,17,27
ipdsl-mor-mirador-36,0,12,21
ipdsl-pue-ctp-61,0,8,13
ipdsl-jal-dominguez-2,0,5,6
ipdsl-pue-ctp-60,0,18,36
ipdsl-nvl-valle-16,0,4,5
ipdsl-nvl-santafe-27,1,9,75
ipdsl-nvl-anahuac-36,0,12,18
ipdsl-nvl-anahuac-38,0,23,39
ipdsl-jal-ctg-74,0,6,5
ipdsl-mex-tlahuac-5,0,1,4
ipdsl-tam-padremier-32,0,13,20
ipdsl-mex-xochimilco-5,0,6,5
ipdsl-mex-lago-5,0,24,40
bb-bcn-piopico-22,0,35,4
bb-mex-ctsj-61,1,46,NA
bb-nvl-mayo-86,1,50,NA
bb-jal-tlaquepaque-65,2,41,NA
bb-son-yanez-70,2,31,NA
bb-son-garmendia-48,0,1,NA
bb-pue-fuertes-67,2,4,NA
bb-nvl-revolucion-65,1,38,NA
bb-mex-culhuacan-66,0,1,NA
bb-pue-ctp-57,1,48,NA
bbint-baires-olleros-11,0,29,1
bbint-baires-juangaray-8,1,0,NA
bb-miami-americas-25,0,29,49
bb-la-grand-7,1,0,92
bb-dallas-bryan-19,0,0,60
bb-la-onewilshire-17,2,5,71
bb-dallas-bryan-18,2,0,78
bb-la-onewilshire-16,0,40,71
bbint-miami-americas-21,0,51,19
bbint-miami-americas-20,1,1,15
bb-bcn-arbol-15,0,37,4
